,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
38425,BTS,Interlude: Wings,6dNOlenVY8vp29pkMZOd7c,62,3Nrfpe0tUJi4K4DXYWgMUX,['3Nrfpe0tUJi4K4DXYWgMUX'],['BTS'],2016,k-pop,0.638,0.851,11,-3.042,0,0.0663,0.0102,0.0,0.114,0.6,124.992,audio_features,6dNOlenVY8vp29pkMZOd7c,spotify:track:6dNOlenVY8vp29pkMZOd7c,https://api.spotify.com/v1/tracks/6dNOlenVY8vp29pkMZOd7c,https://api.spotify.com/v1/audio-analysis/6dNOlenVY8vp29pkMZOd7c,144314,4
50227,Anuradha Paudwal,Holi Khelein Kanha Sang,1LqPDKE0vWOh6mfnEWXTwo,0,4hkB2bR5ek6lJChj6aunCn,"['4hkB2bR5ek6lJChj6aunCn', '42Nd9CCXTWPuMd4i6rvKgw']","['Anuradha Paudwal', 'Jaswant Singh']",2022,filmi,0.62,0.697,7,-6.983,1,0.123,0.573,0.0,0.379,0.708,110.122,audio_features,1LqPDKE0vWOh6mfnEWXTwo,spotify:track:1LqPDKE0vWOh6mfnEWXTwo,https://api.spotify.com/v1/tracks/1LqPDKE0vWOh6mfnEWXTwo,https://api.spotify.com/v1/audio-analysis/1LqPDKE0vWOh6mfnEWXTwo,371301,4
37014,MIIA,Dynasty,29OBQBdkEWYaE3YxVAT8KL,69,0h3YCmvRJ2jqt4jFiR6nGL,['0h3YCmvRJ2jqt4jFiR6nGL'],['MIIA'],2015,pop,0.492,0.594,8,-4.403,0,0.0377,0.256,0.0,0.0759,0.304,123.768,audio_features,29OBQBdkEWYaE3YxVAT8KL,spotify:track:29OBQBdkEWYaE3YxVAT8KL,https://api.spotify.com/v1/tracks/29OBQBdkEWYaE3YxVAT8KL,https://api.spotify.com/v1/audio-analysis/29OBQBdkEWYaE3YxVAT8KL,225515,4
53214,Rush,Entre Nous,05k5hQBg2gSadrEec8WnmC,30,2Hkut4rAAyrQxRdof7FVJq,['2Hkut4rAAyrQxRdof7FVJq'],['Rush'],2020,art rock,0.582,0.497,2,-14.157,1,0.0406,0.113,5.1e-05,0.229,0.692,126.564,audio_features,05k5hQBg2gSadrEec8WnmC,spotify:track:05k5hQBg2gSadrEec8WnmC,https://api.spotify.com/v1/tracks/05k5hQBg2gSadrEec8WnmC,https://api.spotify.com/v1/audio-analysis/05k5hQBg2gSadrEec8WnmC,277648,4
37901,Terror Jr,3 Strikes,1mZF9TEc7gpw7by7NCZSKr,60,5QatamYwvUTOmMHW6WA0AG,['5QatamYwvUTOmMHW6WA0AG'],['Terror Jr'],2016,electropop,0.599,0.432,5,-6.097,1,0.0451,0.62,0.00773,0.105,0.615,106.824,audio_features,1mZF9TEc7gpw7by7NCZSKr,spotify:track:1mZF9TEc7gpw7by7NCZSKr,https://api.spotify.com/v1/tracks/1mZF9TEc7gpw7by7NCZSKr,https://api.spotify.com/v1/audio-analysis/1mZF9TEc7gpw7by7NCZSKr,175777,5
9692,Jazmine Sullivan,Bodies - Intro,2Itnx6zp6Ztkex5JnRcy3U,57,7gSjFKpVmDgC2MMsnN8CYq,['7gSjFKpVmDgC2MMsnN8CYq'],['Jazmine Sullivan'],2021,alternative r&b,0.381,0.474,4,-4.231,1,0.0903,0.845,0.0,0.11,0.161,205.967,audio_features,2Itnx6zp6Ztkex5JnRcy3U,spotify:track:2Itnx6zp6Ztkex5JnRcy3U,https://api.spotify.com/v1/tracks/2Itnx6zp6Ztkex5JnRcy3U,https://api.spotify.com/v1/audio-analysis/2Itnx6zp6Ztkex5JnRcy3U,121640,3
46530,Shawn Mendes,Bad Reputation,3SBAb63Bjv98ZqfAvP9aK8,54,7n2wHs1TKAczGzO7Dd2rGr,['7n2wHs1TKAczGzO7Dd2rGr'],['Shawn Mendes'],2017,canadian pop,0.413,0.697,11,-5.823,0,0.188,0.229,0.0,0.256,0.332,150.047,audio_features,3SBAb63Bjv98ZqfAvP9aK8,spotify:track:3SBAb63Bjv98ZqfAvP9aK8,https://api.spotify.com/v1/tracks/3SBAb63Bjv98ZqfAvP9aK8,https://api.spotify.com/v1/audio-analysis/3SBAb63Bjv98ZqfAvP9aK8,198227,3
42061,Token,Boom (feat. JID),512YmmPt5AELP0TLAdzSUW,64,4cUfFbVZGSsJWdbfmkdxYq,"['4cUfFbVZGSsJWdbfmkdxYq', '6U3ybJ9UHNKEdsH7ktGBZ7']","['Token', 'JID']",2022,pop rap,0.858,0.729,1,-7.344,1,0.216,0.0387,0.0,0.315,0.327,125.998,audio_features,512YmmPt5AELP0TLAdzSUW,spotify:track:512YmmPt5AELP0TLAdzSUW,https://api.spotify.com/v1/tracks/512YmmPt5AELP0TLAdzSUW,https://api.spotify.com/v1/audio-analysis/512YmmPt5AELP0TLAdzSUW,154906,4
14312,NIKI,Every Summertime,68HocO7fx9z0MgDU0ZPHro,89,2kxP07DLgs4xlWz8YHlvfh,['2kxP07DLgs4xlWz8YHlvfh'],['NIKI'],2021,pop,0.628,0.676,6,-4.227,1,0.0424,0.393,6.94e-05,0.0978,0.723,78.996,audio_features,68HocO7fx9z0MgDU0ZPHro,spotify:track:68HocO7fx9z0MgDU0ZPHro,https://api.spotify.com/v1/tracks/68HocO7fx9z0MgDU0ZPHro,https://api.spotify.com/v1/audio-analysis/68HocO7fx9z0MgDU0ZPHro,215687,4
37205,Hailee Steinfeld,Love Myself - KREAM Remix,0Qydhjycb5IFm02W6zJ2Tn,62,5p7f24Rk5HkUZsaS3BLG5F,"['5p7f24Rk5HkUZsaS3BLG5F', '4eoiPzNc0jrpNf3YAtYe1L', '7iwj95h4rLKDyJO8w1LHRM', '0DdDnziut7wOo6cAYWVZC5']","['Hailee Steinfeld', 'Daniel Slettebakken', 'Ian Spurrier', 'KREAM']",2015,pop,0.775,0.772,7,-4.79,0,0.0962,0.00764,1.26e-05,0.0515,0.274,124.947,audio_features,0Qydhjycb5IFm02W6zJ2Tn,spotify:track:0Qydhjycb5IFm02W6zJ2Tn,https://api.spotify.com/v1/tracks/0Qydhjycb5IFm02W6zJ2Tn,https://api.spotify.com/v1/audio-analysis/0Qydhjycb5IFm02W6zJ2Tn,221720,4
51834,Five Finger Death Punch,Scar Tissue,5ZJznweFVYVA803Tq1RldG,51,5t28BP42x2axFnqOOMg3CM,['5t28BP42x2axFnqOOMg3CM'],['Five Finger Death Punch'],2020,alternative metal,0.435,0.989,2,-3.753,1,0.113,2.56e-05,2.63e-06,0.214,0.429,165.054,audio_features,5ZJznweFVYVA803Tq1RldG,spotify:track:5ZJznweFVYVA803Tq1RldG,https://api.spotify.com/v1/tracks/5ZJznweFVYVA803Tq1RldG,https://api.spotify.com/v1/audio-analysis/5ZJznweFVYVA803Tq1RldG,173364,4
36100,SEVENTEEN,OMG,1DyOe08LQyJhsLDcSXiNxO,47,7nqOGRxlXj7N2JYbgNEjYH,['7nqOGRxlXj7N2JYbgNEjYH'],['SEVENTEEN'],2015,k-pop boy group,0.736,0.848,7,-2.952,1,0.0862,0.00476,0.0,0.107,0.228,97.99,audio_features,1DyOe08LQyJhsLDcSXiNxO,spotify:track:1DyOe08LQyJhsLDcSXiNxO,https://api.spotify.com/v1/tracks/1DyOe08LQyJhsLDcSXiNxO,https://api.spotify.com/v1/audio-analysis/1DyOe08LQyJhsLDcSXiNxO,183604,4
51806,Five Finger Death Punch,Mother May I (Tic Toc),5wXWGcJmmNGdV2EzXkbfQD,53,5t28BP42x2axFnqOOMg3CM,['5t28BP42x2axFnqOOMg3CM'],['Five Finger Death Punch'],2020,alternative metal,0.484,0.989,4,-3.74,0,0.109,0.00126,5.78e-06,0.0905,0.391,155.878,audio_features,5wXWGcJmmNGdV2EzXkbfQD,spotify:track:5wXWGcJmmNGdV2EzXkbfQD,https://api.spotify.com/v1/tracks/5wXWGcJmmNGdV2EzXkbfQD,https://api.spotify.com/v1/audio-analysis/5wXWGcJmmNGdV2EzXkbfQD,234239,4
35060,Marc Scibilia,How Bad We Need Each Other,0gWcJrbC41WK5qsKowO0tz,47,4CHiVarfTsFhkFOk5vHS77,['4CHiVarfTsFhkFOk5vHS77'],['Marc Scibilia'],2015,neo mellow,0.669,0.717,4,-5.47,0,0.0558,0.071,0.0,0.0793,0.692,90.986,audio_features,0gWcJrbC41WK5qsKowO0tz,spotify:track:0gWcJrbC41WK5qsKowO0tz,https://api.spotify.com/v1/tracks/0gWcJrbC41WK5qsKowO0tz,https://api.spotify.com/v1/audio-analysis/0gWcJrbC41WK5qsKowO0tz,193067,4
35730,Aaron Watson,Bluebonnets (Julia's Song),0Z9LOFpgyueIFCYSRbUaHb,47,5BKzvAPtNXnt0LwzGvKOH3,['5BKzvAPtNXnt0LwzGvKOH3'],['Aaron Watson'],2015,country rock,0.608,0.434,2,-7.085,1,0.0245,0.275,0.0,0.141,0.31,92.956,audio_features,0Z9LOFpgyueIFCYSRbUaHb,spotify:track:0Z9LOFpgyueIFCYSRbUaHb,https://api.spotify.com/v1/tracks/0Z9LOFpgyueIFCYSRbUaHb,https://api.spotify.com/v1/audio-analysis/0Z9LOFpgyueIFCYSRbUaHb,257133,4
34415,Mariya Chaykovskaya,Целуй меня,5fpFOMiFytNxU7q5hjyXxC,58,565t93iQF8KtOqq6Luqiec,['565t93iQF8KtOqq6Luqiec'],['Mariya Chaykovskaya'],2015,uk pop,0.573,0.492,9,-8.403,0,0.103,0.66,0.0,0.127,0.424,85.032,audio_features,5fpFOMiFytNxU7q5hjyXxC,spotify:track:5fpFOMiFytNxU7q5hjyXxC,https://api.spotify.com/v1/tracks/5fpFOMiFytNxU7q5hjyXxC,https://api.spotify.com/v1/audio-analysis/5fpFOMiFytNxU7q5hjyXxC,187013,4
48118,Erik Hassle,No Words,2kSiSU6KMxTuT7tJ8TwoIq,34,6MKNzi38fPQCFRdWOtHqTJ,['6MKNzi38fPQCFRdWOtHqTJ'],['Erik Hassle'],2017,europop,0.686,0.862,6,-3.791,0,0.0364,0.0221,1.59e-05,0.127,0.638,110.046,audio_features,2kSiSU6KMxTuT7tJ8TwoIq,spotify:track:2kSiSU6KMxTuT7tJ8TwoIq,https://api.spotify.com/v1/tracks/2kSiSU6KMxTuT7tJ8TwoIq,https://api.spotify.com/v1/audio-analysis/2kSiSU6KMxTuT7tJ8TwoIq,213853,4
7384,Etta James,Something's Got A Hold On Me,090TQTa9qS7pboofHwLFbG,44,0iOVhN3tnSvgDbcg25JoJb,['0iOVhN3tnSvgDbcg25JoJb'],['Etta James'],2021,adult standards,0.458,0.566,1,-6.382,1,0.0709,0.7,0.0,0.625,0.569,150.315,audio_features,090TQTa9qS7pboofHwLFbG,spotify:track:090TQTa9qS7pboofHwLFbG,https://api.spotify.com/v1/tracks/090TQTa9qS7pboofHwLFbG,https://api.spotify.com/v1/audio-analysis/090TQTa9qS7pboofHwLFbG,169013,4
